====================================================================================================
Logging file for python script in Intensity Distribution.Experiment 1 (Anonymous): Exp1_LIC_GASD
.py
| The recreation of Experiment 1: comparison between LIC and GASD. 
Started at 2024-05-19 02:05:35.457398 with command:
> python Exp1_LIC_GASD.py --exp T2_MI
====================================================================================================

2024-05-19 02:05:41.241390 | Iteration 1: similarity = 9.74e-01, loss = 4.73e+00, dice = 5.93e-01
2024-05-19 02:05:46.610864 | Iteration 2: similarity = 1.05e+00, loss = 3.36e+00, dice = 6.37e-01
2024-05-19 02:05:51.960157 | Iteration 3: similarity = 1.13e+00, loss = 2.69e+00, dice = 6.81e-01
2024-05-19 02:05:57.379070 | Iteration 4: similarity = 1.20e+00, loss = 2.01e+00, dice = 7.15e-01
2024-05-19 02:06:02.822847 | Iteration 5: similarity = 1.24e+00, loss = 1.76e+00, dice = 7.33e-01
2024-05-19 02:06:08.248598 | Iteration 6: similarity = 1.28e+00, loss = 1.52e+00, dice = 7.48e-01
2024-05-19 02:06:13.692514 | Iteration 7: similarity = 1.32e+00, loss = 1.29e+00, dice = 7.58e-01
2024-05-19 02:06:19.108942 | Iteration 8: similarity = 1.35e+00, loss = 1.09e+00, dice = 7.64e-01
2024-05-19 02:06:24.514803 | Iteration 9: similarity = 1.37e+00, loss = 9.13e-01, dice = 7.69e-01
2024-05-19 02:06:29.941160 | Iteration 10: similarity = 1.40e+00, loss = 7.63e-01, dice = 7.73e-01
2024-05-19 02:06:35.346747 | Iteration 11: similarity = 1.42e+00, loss = 6.33e-01, dice = 7.75e-01
2024-05-19 02:06:40.733091 | Iteration 12: similarity = 1.44e+00, loss = 5.15e-01, dice = 7.76e-01
2024-05-19 02:06:46.141076 | Iteration 13: similarity = 1.46e+00, loss = 4.07e-01, dice = 7.78e-01
2024-05-19 02:06:51.568236 | Iteration 14: similarity = 1.47e+00, loss = 3.13e-01, dice = 7.79e-01
2024-05-19 02:06:56.934752 | Iteration 15: similarity = 1.49e+00, loss = 2.27e-01, dice = 7.80e-01
2024-05-19 02:07:02.363380 | Iteration 16: similarity = 1.50e+00, loss = 1.49e-01, dice = 7.81e-01
2024-05-19 02:07:07.776544 | Iteration 17: similarity = 1.52e+00, loss = 7.74e-02, dice = 7.81e-01
2024-05-19 02:07:13.190577 | Iteration 18: similarity = 1.53e+00, loss = 1.19e-02, dice = 7.81e-01
2024-05-19 02:07:18.619477 | Iteration 19: similarity = 1.54e+00, loss = -4.48e-02, dice = 7.81e-01
2024-05-19 02:07:24.046644 | Iteration 20: similarity = 1.55e+00, loss = -9.51e-02, dice = 7.82e-01
2024-05-19 02:07:29.455302 | Iteration 21: similarity = 1.56e+00, loss = -1.40e-01, dice = 7.82e-01
2024-05-19 02:07:34.830563 | Iteration 22: similarity = 1.56e+00, loss = -1.79e-01, dice = 7.81e-01
2024-05-19 02:07:40.240813 | Iteration 23: similarity = 1.57e+00, loss = -2.16e-01, dice = 7.81e-01
2024-05-19 02:07:45.635572 | Iteration 24: similarity = 1.58e+00, loss = -2.48e-01, dice = 7.81e-01
2024-05-19 02:07:51.035988 | Iteration 25: similarity = 1.58e+00, loss = -2.76e-01, dice = 7.81e-01
2024-05-19 02:07:56.434047 | Iteration 26: similarity = 1.58e+00, loss = -2.99e-01, dice = 7.80e-01
2024-05-19 02:08:01.841990 | Iteration 27: similarity = 1.58e+00, loss = -3.20e-01, dice = 7.80e-01
2024-05-19 02:08:07.230609 | Iteration 28: similarity = 1.59e+00, loss = -3.40e-01, dice = 7.81e-01
2024-05-19 02:08:12.656776 | Iteration 29: similarity = 1.59e+00, loss = -3.55e-01, dice = 7.80e-01
2024-05-19 02:08:18.079558 | Iteration 30: similarity = 1.59e+00, loss = -3.67e-01, dice = 7.80e-01
2024-05-19 02:08:23.474297 | Iteration 31: similarity = 1.59e+00, loss = -3.76e-01, dice = 7.81e-01
2024-05-19 02:08:28.889687 | Iteration 32: similarity = 1.59e+00, loss = -3.84e-01, dice = 7.80e-01
2024-05-19 02:08:34.312224 | Iteration 33: similarity = 1.58e+00, loss = -3.90e-01, dice = 7.80e-01
2024-05-19 02:08:39.714727 | Iteration 34: similarity = 1.58e+00, loss = -3.94e-01, dice = 7.79e-01
2024-05-19 02:08:45.106049 | Iteration 35: similarity = 1.58e+00, loss = -3.96e-01, dice = 7.78e-01
2024-05-19 02:08:50.457398 | Iteration 36: similarity = 1.58e+00, loss = -3.98e-01, dice = 7.78e-01
2024-05-19 02:08:55.884869 | Iteration 37: similarity = 1.58e+00, loss = -3.98e-01, dice = 7.77e-01
2024-05-19 02:09:01.299787 | Iteration 38: similarity = 1.58e+00, loss = -3.97e-01, dice = 7.77e-01
2024-05-19 02:09:06.732245 | Iteration 39: similarity = 1.58e+00, loss = -3.95e-01, dice = 7.77e-01
2024-05-19 02:09:12.126645 | Iteration 40: similarity = 1.58e+00, loss = -3.92e-01, dice = 7.76e-01
2024-05-19 02:09:17.532861 | Iteration 41: similarity = 1.58e+00, loss = -3.89e-01, dice = 7.77e-01
2024-05-19 02:09:23.001744 | Iteration 42: similarity = 1.58e+00, loss = -3.84e-01, dice = 7.76e-01
2024-05-19 02:09:28.410098 | Iteration 43: similarity = 1.58e+00, loss = -3.81e-01, dice = 7.75e-01
2024-05-19 02:09:33.755251 | Iteration 44: similarity = 1.57e+00, loss = -3.77e-01, dice = 7.74e-01
2024-05-19 02:09:39.120723 | Iteration 45: similarity = 1.57e+00, loss = -3.73e-01, dice = 7.75e-01
2024-05-19 02:09:44.443282 | Iteration 46: similarity = 1.57e+00, loss = -3.67e-01, dice = 7.74e-01
