====================================================================================================
Logging file for python script in Intensity Distribution.Experiment 1 (Anonymous): Exp1_LIC_GASD
_same_modality.py
| The recreation of Experiment 1: comparison between LIC and GASD. 
Started at 2024-05-21 16:13:30.990817 with command:
> python Exp1_LIC_GASD_same_modality.py --exp T4_MI
====================================================================================================

2024-05-21 16:13:36.758210 | Iteration 1: similarity = 1.05e+00, loss = 4.65e+00, dice = 5.93e-01
2024-05-21 16:13:42.212633 | Iteration 2: similarity = 1.16e+00, loss = 3.21e+00, dice = 6.43e-01
2024-05-21 16:13:47.696802 | Iteration 3: similarity = 1.28e+00, loss = 2.46e+00, dice = 6.96e-01
2024-05-21 16:13:53.254397 | Iteration 4: similarity = 1.38e+00, loss = 1.72e+00, dice = 7.34e-01
2024-05-21 16:13:58.681012 | Iteration 5: similarity = 1.44e+00, loss = 1.45e+00, dice = 7.57e-01
2024-05-21 16:14:04.121136 | Iteration 6: similarity = 1.49e+00, loss = 1.19e+00, dice = 7.72e-01
2024-05-21 16:14:09.666882 | Iteration 7: similarity = 1.54e+00, loss = 9.46e-01, dice = 7.86e-01
2024-05-21 16:14:15.178645 | Iteration 8: similarity = 1.57e+00, loss = 7.43e-01, dice = 7.96e-01
2024-05-21 16:14:20.703732 | Iteration 9: similarity = 1.60e+00, loss = 5.64e-01, dice = 8.02e-01
2024-05-21 16:14:26.189401 | Iteration 10: similarity = 1.63e+00, loss = 4.10e-01, dice = 8.09e-01
2024-05-21 16:14:31.701128 | Iteration 11: similarity = 1.65e+00, loss = 2.76e-01, dice = 8.13e-01
2024-05-21 16:14:37.132301 | Iteration 12: similarity = 1.67e+00, loss = 1.58e-01, dice = 8.17e-01
2024-05-21 16:14:42.530420 | Iteration 13: similarity = 1.69e+00, loss = 5.20e-02, dice = 8.21e-01
2024-05-21 16:14:47.960801 | Iteration 14: similarity = 1.71e+00, loss = -4.16e-02, dice = 8.25e-01
2024-05-21 16:14:53.374850 | Iteration 15: similarity = 1.73e+00, loss = -1.27e-01, dice = 8.27e-01
2024-05-21 16:14:58.837281 | Iteration 16: similarity = 1.74e+00, loss = -2.02e-01, dice = 8.29e-01
2024-05-21 16:15:04.263095 | Iteration 17: similarity = 1.75e+00, loss = -2.71e-01, dice = 8.31e-01
2024-05-21 16:15:09.691809 | Iteration 18: similarity = 1.77e+00, loss = -3.32e-01, dice = 8.32e-01
2024-05-21 16:15:15.098577 | Iteration 19: similarity = 1.77e+00, loss = -3.84e-01, dice = 8.34e-01
2024-05-21 16:15:20.626719 | Iteration 20: similarity = 1.78e+00, loss = -4.31e-01, dice = 8.33e-01
2024-05-21 16:15:26.139001 | Iteration 21: similarity = 1.79e+00, loss = -4.73e-01, dice = 8.35e-01
2024-05-21 16:15:31.633024 | Iteration 22: similarity = 1.79e+00, loss = -5.09e-01, dice = 8.35e-01
2024-05-21 16:15:37.161361 | Iteration 23: similarity = 1.80e+00, loss = -5.41e-01, dice = 8.34e-01
2024-05-21 16:15:42.723788 | Iteration 24: similarity = 1.80e+00, loss = -5.69e-01, dice = 8.35e-01
2024-05-21 16:15:48.105962 | Iteration 25: similarity = 1.80e+00, loss = -5.94e-01, dice = 8.34e-01
2024-05-21 16:15:53.532408 | Iteration 26: similarity = 1.80e+00, loss = -6.15e-01, dice = 8.33e-01
2024-05-21 16:15:58.904042 | Iteration 27: similarity = 1.80e+00, loss = -6.32e-01, dice = 8.32e-01
2024-05-21 16:16:04.259986 | Iteration 28: similarity = 1.80e+00, loss = -6.46e-01, dice = 8.32e-01
2024-05-21 16:16:09.611763 | Iteration 29: similarity = 1.80e+00, loss = -6.60e-01, dice = 8.31e-01
2024-05-21 16:16:15.056646 | Iteration 30: similarity = 1.80e+00, loss = -6.70e-01, dice = 8.31e-01
2024-05-21 16:16:20.565671 | Iteration 31: similarity = 1.80e+00, loss = -6.80e-01, dice = 8.30e-01
2024-05-21 16:16:25.977273 | Iteration 32: similarity = 1.80e+00, loss = -6.86e-01, dice = 8.30e-01
2024-05-21 16:16:31.363813 | Iteration 33: similarity = 1.80e+00, loss = -6.91e-01, dice = 8.30e-01
2024-05-21 16:16:36.768478 | Iteration 34: similarity = 1.79e+00, loss = -6.93e-01, dice = 8.29e-01
2024-05-21 16:16:42.154187 | Iteration 35: similarity = 1.79e+00, loss = -6.97e-01, dice = 8.29e-01
2024-05-21 16:16:47.562931 | Iteration 36: similarity = 1.79e+00, loss = -6.98e-01, dice = 8.29e-01
2024-05-21 16:16:52.973251 | Iteration 37: similarity = 1.79e+00, loss = -6.99e-01, dice = 8.28e-01
2024-05-21 16:16:58.349182 | Iteration 38: similarity = 1.79e+00, loss = -6.99e-01, dice = 8.27e-01
2024-05-21 16:17:03.805647 | Iteration 39: similarity = 1.79e+00, loss = -6.99e-01, dice = 8.28e-01
2024-05-21 16:17:09.257470 | Iteration 40: similarity = 1.79e+00, loss = -6.97e-01, dice = 8.28e-01
2024-05-21 16:17:14.631425 | Iteration 41: similarity = 1.78e+00, loss = -6.94e-01, dice = 8.28e-01
2024-05-21 16:17:20.001971 | Iteration 42: similarity = 1.78e+00, loss = -6.93e-01, dice = 8.27e-01
